product_id,real_tn,pred_tn_BASE,pred_tn_TUNED,pred_tn_TWEED,pred_tn_FINAL,pred_tn_BASE_SINLOG,pred_tn_TUNED_SINLOG,pred_tn_TWEED_SINLOG,pred_feb_BASE,pred_feb_TUNED,pred_feb_TWEED,pred_feb_FINAL,pred_feb_FINAL_SINLOG,pred_feb_BASE_SINLOG,pred_feb_TUNED_SINLOG,pred_feb_TWEED_SINLOG
20001,1504.68856,424.6268441476796,421.6850851124261,276.1819629786972,845.7955770405345,687.8437185033823,811.3030921584534,532.6364514959471,627.3644691133184,678.7782385317395,362.8836198806216,733.7864665924717,485165194.4097903,1317.9765766012956,1197.5572823998848,962.785152800891
20002,1087.30855,514.2403830929843,423.1921594691446,306.53308415369685,866.4346619262037,744.9527574892783,720.2875110007803,543.4791320352017,643.9204543927306,641.3823633797474,353.28302995745446,589.3793409694807,485165194.4097903,794.8097837967174,963.8982796041468,735.4101346658103
20003,892.5012899999999,35.43755924814986,20.2803741559664,9.268522914354286,9.288946950199076,498.0390438180489,449.6564847135406,297.94297589384615,556.3773723980238,454.0670176519361,364.5485999018308,694.1913460438761,485165194.4097903,661.0681233669117,576.9665466760835,504.0545060678393
20004,637.90002,30.67560078406292,17.22136611369513,9.017515860942295,7.7363865815986586,340.381225338357,261.53219277500926,274.13823749373324,475.7167128399394,444.4025769433589,415.5315813505342,570.7858614788186,485165194.4097903,461.11801704971543,499.90137918409886,450.93891806687265
20005,593.24443,331.94633243349494,290.57344040592585,252.37782879390568,641.587696765757,354.3018664681995,362.5974955849233,372.8363434350409,416.67746205183363,378.55293893314195,322.7727642858065,467.491188542127,485165194.4097903,466.10898848440564,481.31169380583356,437.74409083610095
20006,417.23228,41.4208623263246,17.99854233525945,9.414410559391818,12.777662474292889,423.64995561537177,396.50367077786314,275.5030941158777,453.37014533096135,441.63167482662357,445.32364505545223,485.8178342510827,485165194.4097903,499.93629818212935,521.7953161652373,460.89139354622546
20007,390.43432,256.9573815278058,249.44838382513336,150.0953372158011,243.45094932982934,281.7958192188035,260.4970338157336,269.4464129439119,356.8170878200371,375.15271589586916,285.49952182472794,290.4668365765798,485165194.4097903,348.3344674506372,396.6506309927049,410.9780553397881
20008,195.36854,36.69481479965482,17.33199810083243,8.805541769684913,8.151831592523827,321.54203671438637,324.0328996734368,243.90475862036817,383.0436138602661,402.387621366358,288.7671036936883,313.47894729106025,485165194.4097903,364.53686343074725,343.18025444275133,372.53478655341786
20009,495.03574,34.06346957263999,19.598395584462562,5.533422406019376,6.888212384304335,332.86449864049933,315.25915672140434,274.42645958117936,430.2494050866696,411.2705547051918,395.48474531445277,381.6830382597856,485165194.4097903,452.75952981875486,392.01446912999387,472.1272701861746
20010,359.59997999999996,36.79687318494386,18.00889538440408,6.5720126550933715,7.56441811605774,289.97063698443185,229.32324927965476,229.1244766825899,364.7821388294794,364.6556050293407,445.0199476780948,398.9989196056591,485165194.4097903,420.1792964213888,337.1118662945063,386.38372035351927
20011,392.3829,41.8078522788687,19.369902672300498,9.976056942129714,8.919819286436258,263.83330429200646,295.2100016234677,240.32828238652655,357.38538822753145,338.557377380914,320.9231117784886,325.171775638158,485165194.4097903,388.21074255016293,375.405709281248,357.4564342621933
20012,173.13004,33.00980415148916,18.50870636695028,6.327572146164008,9.838467531309576,310.28656772737963,304.44212726423467,242.00084248508935,308.264678461311,314.2934241175336,288.9462865541612,221.43094957345903,485165194.4097903,346.43743139013907,362.2919141169596,343.96294357255283
20013,318.09141,33.56122273034577,17.283755402367685,7.965814800718899,9.314178248661513,323.5103269238777,340.0331848112303,223.9570689850248,339.49809788001863,368.4763906490447,312.20601272735666,343.5413830601252,485165194.4097903,391.9551042733325,344.0489316760829,372.652547459209
20014,272.02812,36.29311926646593,17.824963808790148,8.57489238297582,11.361102852306933,311.15910465563877,307.338886316306,225.70324369177547,332.28936168378095,321.0509545408923,307.38359954920486,327.60120733993443,485165194.4097903,361.91238557515493,369.34794957563815,337.6373582506142
20015,297.27663,33.24808145410534,17.042321444534405,9.408662122068797,9.721020980427575,278.4515296803844,299.9804709427772,210.9424554668665,232.77091879074953,258.04046347284697,193.57204571590856,244.02294908780408,485165194.4097903,261.67010291339375,232.34811282831734,301.8429859042134
20016,273.20202,35.096915083122624,18.051559021375226,6.654820881520866,8.981898600942475,237.81595092592315,248.02062061084249,193.76941283820477,311.8960514886328,301.5025067502752,342.20715124384276,310.9641735514169,485165194.4097903,313.1891243721965,338.8901937706222,275.25778233830704
20017,216.90773,32.70595660724965,16.486545199698863,8.57862076042114,8.570700649061985,324.5871956046359,290.0882057510462,207.7907543886543,273.983199059791,284.9330552056361,254.2184053658764,319.02031710032776,485165194.4097903,283.32460606886787,284.31753902271157,258.26369596772724
20018,141.63569999999999,96.11872066808253,48.57425902852518,167.70111062137994,269.8834712743059,294.30081431520665,305.29108437443807,235.8520224380367,184.4560303188723,188.63707106008934,156.31023110803025,203.4296245744193,485165194.4097903,287.20774826777796,262.1142768683909,234.17643475062798
20019,351.54708,39.669384789321214,17.52749199680861,10.252354119470644,10.4518242955744,260.6228483454406,211.0643871381852,204.48042822228837,276.602407677441,267.84079858538865,283.9080774524999,273.61591168658185,485165194.4097903,282.07648970792815,265.1659670220524,268.3134037400602
20020,266.06358,40.598598971928055,19.15881435678198,6.972853564073117,7.891280870955141,306.4758506768972,250.9251664812804,190.2038853277616,286.66082540736926,287.3442235693816,288.9015200857935,299.065486694304,485165194.4097903,283.1737840316376,320.61226525658566,271.4612069971198
20021,203.76721,28.225776470425163,17.655057892930973,5.846485108732271,7.403489341952954,235.4659301525817,233.4403621898825,178.834552187669,199.59946754737354,200.3082783894635,203.25433391708376,240.86867758345298,485165194.4097903,278.89279363515533,303.62873170963627,236.6114018686933
20022,210.8346,31.308176710434644,19.88766212222273,6.350139175233262,6.702711446173031,273.46337740173266,224.39344085275607,170.38139954491086,277.5566444653861,276.2776091037034,274.40660076007885,254.94888027697235,485165194.4097903,298.37031342367686,322.71296495616554,280.34788172928614
20023,181.13277,33.68597512273856,17.673087194642807,8.32094532947766,8.275204146940885,255.4146575585994,221.47129921471125,196.67487594145902,214.354239172703,193.19457222024843,175.74159306469323,181.42540145458184,485165194.4097903,243.89190098508487,197.02313740500279,231.1317880779974
20024,270.45018,29.01666416485937,16.11494866077817,7.555987089518685,8.88767726202046,232.41283692578367,215.9042471616164,144.60640387031432,180.01955668441525,202.04568610739105,166.55921890488295,199.46142031167065,485165194.4097903,245.48630381158205,239.13717182101982,212.59448851521626
20025,241.83432000000002,34.39370732600853,18.275520981175493,6.562857411121042,7.619154958585687,215.56664209543266,171.53503325700555,140.97931396929602,202.00818073675896,203.619803193857,201.24540209572186,219.57236136155154,485165194.4097903,248.57776254640856,205.07608238330138,220.8437680704688
